School,Stadium_Cap
Alabama,101821
Arizona,57400
Arkansas,76212
Arkansas State,30964
Ball State,30964
Baylor,50000
Boise State,36387
Boston College,44500
Buffalo,29013
BYU,65000
California,75028
Clemson,81500
Colorado,53750
FIU,20000
Florida State,82300
Georgia State,71228
Georgia Tech,55000
Hawaii,50000
Illinois,70904
Indiana,52929
Iowa State,61500
Kansas,50000
Kansas State,50300
Kent State,30520
Louisiana,41426
Louisiana Tech,30600
Marshall,38227
Memphis,62921
Miami (OH),30012
Michigan State,75005
Middle Tennessee,30788
Missouri,71168
NC State,57583
Nebraska,87147
Nevada,31545
New Mexico,40094
Northern Illinois,31000
Northwestern,47130
Notre Dame,80795
Ohio,24000
Oklahoma,83469
Ole Miss,64038
Oregon State,45674
Penn State,107282
Rutgers,52454
San Diego State,54000
SMU,92100
South Alabama,40646
Southern Miss,36000
Syracuse,49550
Texas A&M,106511
Toledo,26248
Troy,30000
UCF,65438
UCLA,92542
UMass,17000
USC,93607
UTEP,51500
Virginia,61500
Washington,72500
West Virginia,63500
Western Kentucky,22113
Wisconsin,82123
