School,Graduation Rate (GSR)
Air Force,83
Akron,45
Alabama,79
Appalachian State,57
Arizona,74
Arizona State,74
Arkansas,76
Arkansas State,76
Army,76
Auburn,76
Ball State,71
Baylor,71
Boise State,55
Boston College,90
Bowling Green,90
Brigham Young,82
Buffalo,89
California,81
Central Florida,64
Central Michigan,64
Charlotte,56
Cincinnati,56
Clemson,56
Coastal Carolina,85
Colorado,83
Colorado State,83
Connecticut,98
Duke,82
East Carolina,80
Eastern Michigan,75
Florida,92
Florida Atlantic,49
Florida State,68
Fresno State,90
Georgia,89
Georgia Southern,82
Georgia State,63
Georgia Tech,33
Hawaii,100
Houston,0
Illinois,72
Indiana,74
Iowa,84
Iowa State,84
Kansas,81
Kansas State,81
Kent State,77
Kentucky,77
Liberty,84
Louisiana-Lafayette,67
Louisiana-Monroe,67
Louisville,67
LSU,67
Maryland,73
Massachusetts,73
Memphis,73
Miami (Fla.),73
Miami (Ohio),73
Michigan,85
Michigan State,85
Minnesota,85
Mississippi,85
Mississippi State,85
Missouri,74
Navy,71
Nebraska,71
Nevada,71
Nevada-Las Vegas,71
New Mexico,71
New Mexico State,71
North Carolina,59
North Carolina State,66
Northern Illinois,71
Northwestern,84
Notre Dame,99
Ohio,99
Ohio State,99
Oklahoma,74
Oklahoma State,74
Oregon,70
Oregon State,70
Penn State,69
Pittsburgh,84
Purdue,96
Rutgers,78
San Diego State,94
San Jose State,76
South Alabama,40
South Carolina,40
South Florida,70
Southern California,63
Southern Methodist,75
Stanford,67
Syracuse,80
Temple,82
Tennessee,83
Texas,77
Texas A&M,77
Texas Christian,68
Texas State,53
Texas Tech,70
Toledo,71
Troy,67
Tulane,68
Tulsa,84
UCLA,79
Utah,78
Utah State,78
Vanderbilt,68
Virginia,85
Virginia Tech,86
Wake Forest,78
Washington,93
Washington State,93
West Virginia,66
Western Michigan,74
Wisconsin,71
Wyoming,97
